Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion
Oatmeal with protein powder and fruit,Chicken stir-fry with brown rice,Steak with sweet potatoes and broccoli,Protein shake
Scrambled eggs with whole-wheat toast,Vegetarian chili with brown rice,Chickpea and vegetable curry with brown rice,Yogurt with fruit and granola
Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Black bean burgers with sweet potato fries,Almonds
Greek yogurt with fruit and granola,Chicken and vegetable stir-fry with brown rice,Tuna salad with whole-wheat bread,Protein shake
Greek yogurt with berries and granola,Chicken stir fry with brown rice and vegetables,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
Tofu scramble with whole-wheat toast and avocado,Lentil soup with whole-wheat bread and salad,Vegetable curry with brown rice,Trail mix with nuts and dried fruit
Oatmeal with fruit and nuts,Tuna salad sandwich on whole-wheat bread with salad,Chicken breast with steamed vegetables and brown rice,Greek yogurt with fruit
Tofu scramble with whole-wheat toast and avocado,Lentil soup with whole-wheat bread and salad,Chickpea and vegetable curry with brown rice,Trail mix with nuts and seeds
Overnight oats with fruit and chia seeds,Black bean burger on whole-wheat bun with salad,Lentil stew with whole-grain bread,Apple slices with almond butter
Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with roasted vegetables and sweet potato,Protein shake with fruit
Yogurt with fruit and granola,Turkey sandwich on whole-wheat bread with salad,Salmon with roasted vegetables and quinoa,Apple slices with almond butter
Oatmeal with fruit and nuts,Bean burrito with brown rice and salsa,Chickpea pasta with vegetable sauce,Trail mix with nuts and seeds
Breakfast burrito with eggs and vegetables,Turkey sandwich on whole-wheat bread with salad,Chicken stir fry with brown rice and vegetables,Greek yogurt with fruit
Overnight oats with fruit and chia seeds,Vegetable stir fry with brown rice,Black bean soup with whole-grain bread,Trail mix with nuts and dried fruit
Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
Tofu scramble with vegetables,Lentil soup with whole-grain bread,Chickpea and vegetable curry,Almonds
Tofu and vegetable stir-fry,Vegan chili with brown rice,Black bean burgers with sweet potato fries,Fruit and vegetable salad
Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and broccoli,Beef stir-fry with brown rice,Protein shake
Yogurt with granola and fruit,Tuna salad sandwich on whole-grain bread,Chicken stir-fry with brown rice,Apple with almond butter
Oatmeal with fruit and nuts,Turkey breast sandwich on whole-grain bread,Lentil soup with whole-grain bread,Trail mix
Tofu scramble with vegetables,Chickpea pasta with marinara sauce,Vegan lentil stew,Fruit and vegetable salad
Greek yogurt with fruit and granola,Chicken breast with sweet potato and broccoli,Steak with roasted vegetables,Protein bar
Eggs with whole-wheat toast,Chicken salad sandwich on whole-grain bread,Salmon with vegetables,Fruit and nuts
Tofu scramble with vegetables,Chickpea pasta salad with vegetables,Black bean burgers with sweet potato fries,Fruit and vegetable salad
Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole wheat bread,Greek yogurt with fruit
Scrambled eggs with whole wheat toast,Chicken breast with brown rice and vegetables,Salmon with sweet potato and broccoli,Protein shake
Tofu scramble with whole wheat toast,Black bean burger on a whole wheat bun,Lentil stew with brown rice,Fruit salad with yogurt
Tofu scramble with vegetables,Lentil and vegetable curry with brown rice,Chickpea pasta with marinara sauce,Trail mix with dried fruit and nuts
Greek yogurt with fruit and granola,Tuna salad sandwich on whole wheat bread,Chicken stir-fry with brown rice,Mixed nuts and seeds
Tofu and vegetable stir-fry,Black bean and sweet potato burrito,Lentil soup with whole wheat bread,Fruit with nut butter
Tofu scramble with whole wheat toast,Vegetarian chili with brown rice,Lentil and vegetable curry with brown rice,Fruit with yogurt
Oatmeal with protein powder,Chicken breast with quinoa and vegetables,Beef stir-fry with brown rice,Protein shake
Scrambled eggs with whole wheat toast,Chicken and vegetable skewers,Salmon with roasted vegetables,Protein bar
Oatmeal with berries and nuts,Grilled chicken salad with quinoa,Salmon with roasted vegetables,Apple with peanut butter
Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Chickpea curry with brown rice,Mixed nuts and dried fruit
Greek yogurt with fruit and granola,Chicken stir-fry with brown rice,Tuna salad sandwich on whole-wheat bread,Banana
Tofu and vegetable breakfast burrito,Lentil and vegetable stew,Tofu stir-fry with brown rice,Fruit salad with nuts
Overnight oats with berries and chia seeds,Lentil and vegetable soup,Black bean burgers with sweet potato fries,Trail mix
Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and vegetables,Steak with sweet potato and asparagus,Protein bar
Smoothie with fruit and protein powder,Chicken and vegetable soup,Quinoa salad with grilled chicken,Greek yogurt with fruit
Tofu scramble with vegetables and whole-wheat toast,Lentil pasta with vegan cheese,Tofu and vegetable stir-fry with brown rice,Rice cakes with peanut butter
Oatmeal with fruit and nuts,Quinoa salad with grilled tofu,Vegetable curry with brown rice,Hummus with vegetables
Greek yogurt with fruit and granola,Chicken breast with brown rice and vegetables,Salmon with roasted vegetables,Protein shake
Oatmeal with berries and nuts,Lentil soup with whole wheat bread,Grilled chicken salad with quinoa,Apple with peanut butter
Scrambled eggs with whole wheat toast and avocado,Chicken breast with brown rice and steamed vegetables,Salmon with roasted vegetables,Protein shake
Tofu scramble with whole wheat toast and fruit,Lentil stew with whole wheat bread,Vegetable curry with brown rice,Greek yogurt with fruit
Tofu scramble with whole wheat toast and fruit,Lentil soup with whole wheat bread,Chickpea and vegetable curry with brown rice,Trail mix
Oatmeal with fruit and nuts,Vegetable stir-fry with brown rice,Lentil pasta with marinara sauce,Banana with almond butter
Greek yogurt with fruit and granola,Chicken breast with brown rice and steamed vegetables,Steak with baked potato and salad,Protein bar
Scrambled eggs with whole wheat toast and fruit,Lentil soup with whole wheat bread,Vegetable lasagna with salad,Fruit salad with yogurt
Tofu scramble with whole wheat toast and fruit,Lentil soup with whole wheat bread,Chickpea and vegetable curry with brown rice,Trail mix
Oatmeal with berries and nuts,Chicken salad sandwich on whole wheat bread,Grilled chicken with roasted vegetables,Greek yogurt with fruit
Tofu scramble with whole wheat toast and fruit,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix
Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Lentil soup with whole-wheat bread,Apple with peanut butter
Tofu scramble with whole-wheat toast,Lentil and vegetable curry with brown rice,Vegetable stir-fry with brown rice,Trail mix 
Tofu and vegetable breakfast burrito,Lentil and vegetable stew with brown rice,Chickpea pasta with tomato sauce and vegetables,Fruit and nut mix
Greek yogurt with fruit and granola,Chicken breast with brown rice and roasted vegetables,Salmon with quinoa and steamed vegetables,Protein shake
Eggs with whole-wheat toast,Tuna salad sandwich on whole-wheat bread,Chicken stir-fry with brown rice,Banana with almond butter
Tofu scramble with whole-wheat toast,Bean burrito with brown rice,Vegetable stir-fry with tofu and brown rice,Fruit and nut mix
Oatmeal with protein powder and berries,Turkey sandwich on whole-wheat bread,Chicken breast with roasted vegetables and quinoa,Greek yogurt with fruit and nuts
Tofu and vegetable breakfast burrito,Lentil and vegetable stew with brown rice,Chickpea pasta with tomato sauce and vegetables,Fruit and nut mix
Greek yogurt with fruit and granola,Turkey sandwich on whole-wheat bread,Salmon with roasted vegetables and brown rice,Trail mix 
Tofu and vegetable scramble with whole-wheat toast,Lentil and vegetable soup with whole-wheat bread,Chickpea pasta with tomato sauce and vegetables,Fruit and nuts
Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and vegetables,Salmon with roasted vegetables and quinoa,Apple slices with peanut butter
Tofu scramble with spinach and avocado,Lentil soup with wholegrain bread,Chickpea pasta with vegetable sauce,Trail mix with nuts and seeds
Oatmeal with fruit and nuts,Chicken stir-fry with brown rice,Roast beef with mashed potatoes and peas,Popcorn with a touch of olive oil
Tofu and vegetable scramble with wholegrain toast,Lentil stew with brown rice,Black bean burgers on wholegrain buns,Smoothie with protein powder and fruit
Oatmeal with berries and flax seeds,Lentil soup with wholegrain bread,Tofu stir-fry with brown rice,Almond milk with banana and chia seeds
Eggs with wholegrain toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Greek yogurt with fruit and nuts
Breakfast burrito with beans and vegetables,Chickpea salad sandwich on wholegrain bread,Tofu stir-fry with brown rice,Hummus with wholegrain crackers
Tofu scramble with spinach and avocado,Lentil stew with brown rice,Black bean burgers on wholegrain buns,Popcorn with a touch of olive oil
Greek yogurt with berries and granola,Grilled chicken salad with mixed greens and vegetables,Salmon with roasted vegetables and quinoa,Apple slices with peanut butter
Oatmeal with berries and flax seeds,Lentil soup with wholegrain bread,Tofu stir-fry with brown rice,Almond milk with banana and chia seeds
Greek yogurt with berries and granola,Chicken breast salad with mixed greens,Salmon with roasted vegetables,Apple with peanut butter
Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetarian chili with brown rice,Trail mix
Oatmeal with fruit and nuts,Black bean burger on whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
Scrambled eggs with whole-wheat toast and avocado,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake
Greek yogurt with fruit and granola,Black bean burger on whole-wheat bun,Vegetarian chili with brown rice,Apple with peanut butter
Tofu scramble with vegetables,Lentil soup with whole-wheat bread,Vegetable stir-fry with brown rice,Trail mix
Oatmeal with protein powder and fruit,Chicken breast with brown rice and vegetables,Steak with sweet potato and green beans,Protein shake
Oatmeal with fruit and nuts,Black bean burger on whole-wheat bun,Lentil stew with brown rice,Banana with almond butter
Scrambled eggs with whole-wheat toast and avocado,Tuna salad sandwich on whole-wheat bread,Chicken breast with vegetables,Yogurt with fruit
Greek yogurt with fruit and granola,Black bean burger on whole-wheat bun,Vegetarian chili with brown rice,Apple with peanut butter
Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Greek yogurt with fruit
Scrambled eggs with whole-wheat toast,Chicken breast with brown rice and quinoa,Steak with sweet potato fries,Protein shake
Tofu scramble with vegetables,Black bean burger on a whole-wheat bun,Lentil soup with whole-grain bread,Fruit salad with nuts
Protein pancakes with fruit,Chicken stir-fry with brown rice,Chicken breast with sweet potato and broccoli,Protein bar
Tofu scramble with vegetables,Vegetable stir-fry with rice noodles,Lentil soup with whole-grain bread,Fruit salad with nuts
Greek yogurt with fruit and granola,Chicken and vegetable wrap,Salmon with roasted vegetables,Trail mix
Oatmeal with berries and nuts,Tuna salad sandwich on whole-wheat bread,Chicken breast with roasted vegetables,Yogurt parfait with granola
Tofu scramble with vegetables,Chickpea pasta with vegetable sauce,Lentil stew with whole-grain bread,Trail mix
Scrambled eggs with whole-wheat toast,Chicken breast with mixed greens salad,Salmon with roasted vegetables,Fruit and nut mix
Yogurt with fruit and granola,Bean burrito with brown rice,Lentil soup with whole-grain bread,Fruit and nut mix
Greek yogurt with berries and granola,Chicken breast salad with mixed greens and avocado,Salmon with roasted vegetables and quinoa,Apple with peanut butter
